372	214	516	334
156	246	710	303
169	257	690	311
291	260	601	321
294	284	598	300
273	298	624	293
340	329	539	276
305	321	581	233
366	216	503	300
377	161	497	294
256	263	561	294
264	151	513	412
52	105	770	254
308	75	495	361
202	311	621	205
477	354	352	213
487	312	301	189
498	275	288	176
515	211	284	185
468	105	218	189
332	176	364	116
509	172	339	95
518	158	255	131
512	160	329	100
517	147	258	121
538	140	251	99
534	143	170	86
548	150	131	69
536	134	132	86
521	138	147	71
551	136	111	70
519	102	204	125
544	136	225	138
546	135	242	165
540	139	289	180
518	136	318	186
550	135	256	183
544	133	240	172
550	97	240	172
519	95	271	181
543	95	237	163
500	72	262	173
497	82	329	155
489	57	252	144
462	116	279	114
533	143	269	176
499	128	277	201
407	150	313	135
440	186	326	184
442	184	337	187
445	191	391	173
469	197	378	163
344	181	505	149
461	200	349	201
383	212	413	185
490	240	347	176
476	233	382	138
339	262	300	113
391	259	258	82
475	79	234	93
411	91	298	89
499	75	199	98
474	86	216	84
462	88	218	96
456	102	243	89
454	109	233	81
508	102	188	87
471	110	225	76
462	117	225	75
475	119	195	78
459	123	213	78
473	127	213	74
467	125	216	76
458	140	221	62
459	128	227	75
457	139	225	65
455	126	234	78
476	126	210	78
455	125	224	74
509	108	181	86
460	93	217	90
482	89	202	92
456	96	218	79
496	82	190	92
476	78	203	89
460	74	213	90
466	80	214	83
484	83	204	83
472	74	199	93
483	81	201	99
461	90	203	90
461	97	204	83
464	102	202	84
468	109	201	80
464	108	198	84
467	113	199	80
460	108	202	90
471	117	184	86
469	121	189	80
444	123	212	88
433	131	226	85
445	133	231	92
429	119	246	101
433	131	223	83
474	130	190	91
458	127	195	87
413	127	228	97
377	133	265	112
393	177	303	266
445	328	263	184
447	314	279	193
423	324	411	141
416	318	291	197
333	123	312	149
155	0	742	285
